,revenue,fuel_surcharge,accessorial_charges,driver_id,actual_distance_miles,actual_duration_hours,idle_time_hours,total_revenue,dispatch_date_year
56810,3661.4,460.0,0,DRV00083,1855,34.1,11.4,3201.4,2024
56811,2401.66,276.3,150,DRV00023,991,17.6,9.4,1975.36,2024
56812,2144.65,276.3,0,DRV00146,984,18.1,6.3,1868.3500000000001,2024
56813,1333.88,189.0,0,DRV00092,684,10.8,3.1,1144.88,2024
56814,1016.2,141.33,0,DRV00014,671,12.7,3.3,874.87,2024
56815,5155.63,451.8,0,DRV00092,2320,41.1,2.7,4703.83,2024
56816,2047.99,114.3,100,DRV00059,767,14.1,8.5,1833.69,2024
56817,6522.44,472.14,0,DRV00129,2612,49.1,2.0,6050.299999999999,2024
56818,5186.57,792.88,150,DRV00061,2370,44.2,10.4,4243.69,2024
56819,7234.47,453.91,50,DRV00132,2374,42.6,5.8,6730.56,2024
56820,1177.23,170.88,75,DRV00132,734,12.8,5.1,931.35,2024
56821,4478.98,524.7,0,DRV00097,1781,32.2,8.7,3954.2799999999997,2024
56822,5380.51,580.87,200,DRV00150,1997,38.9,5.5,4599.64,2024
56823,3589.13,738.48,0,DRV00020,2264,40.7,3.4,2850.65,2024
56824,3964.84,524.7,200,DRV00125,1838,29.3,10.2,3240.1400000000003,2024
56825,1305.3,137.31,50,DRV00013,628,10.0,2.9,1117.99,2024
56826,447.86,40.08,50,DRV00011,173,3.1,7.5,357.78000000000003,2024
56827,1295.93,153.34,0,DRV00126,695,11.8,6.7,1142.5900000000001,2024
56828,1586.64,185.6,0,DRV00030,654,10.4,9.4,1401.0400000000002,2024
56829,3927.89,504.32,0,DRV00129,1659,32.4,3.0,3423.5699999999997,2024
56830,1221.57,187.6,0,DRV00094,674,12.7,8.9,1033.97,2024
56831,1988.17,114.3,75,DRV00120,817,15.2,10.7,1798.8700000000001,2024
56832,3139.36,406.72,150,DRV00017,1290,21.3,2.1,2582.6400000000003,2024
56833,1111.84,98.61,0,DRV00109,541,10.4,11.0,1013.2299999999999,2024
56834,6380.52,472.14,0,DRV00132,2773,52.6,11.0,5908.38,2024
56835,4442.88,537.81,75,DRV00122,2554,49.2,4.7,3830.07,2024
56836,2685.72,406.72,100,DRV00127,1329,23.3,5.8,2179.0,2024
56837,1841.74,144.0,0,DRV00128,716,11.1,7.7,1697.74,2024
56838,3806.36,357.25,75,DRV00029,1461,24.0,7.0,3374.11,2024
56839,6863.08,792.88,100,DRV00012,2495,44.5,6.8,5970.2,2024
56840,703.27,86.46,0,DRV00049,268,4.2,8.0,616.81,2024
56841,2890.07,406.72,75,DRV00104,1368,23.2,5.0,2408.3500000000004,2024
56842,5728.47,891.82,0,DRV00061,2825,48.4,9.1,4836.650000000001,2024
56843,1309.01,273.36,0,DRV00124,795,12.8,5.1,1035.65,2024
56844,3415.76,357.25,50,DRV00005,1402,24.0,8.1,3008.51,2024
56845,4715.2,524.7,50,DRV00110,1832,32.4,7.5,4140.5,2024
56846,362.53,40.08,50,DRV00049,169,2.6,5.9,272.45,2024
56847,1053.94,128.63,150,DRV00022,730,13.9,10.9,775.3100000000001,2024
56848,3166.51,406.72,150,DRV00028,1367,26.6,9.9,2609.79,2024
56849,7783.53,814.37,0,DRV00101,2740,43.9,9.7,6969.16,2024
56850,5001.44,792.88,50,DRV00009,2498,49.6,9.6,4158.5599999999995,2024
56851,1424.87,185.6,0,DRV00108,663,10.7,2.2,1239.27,2024
56852,3280.91,376.0,50,DRV00113,1178,23.4,5.3,2854.91,2024
56853,1138.03,128.63,150,DRV00037,669,11.6,2.2,859.4,2024
56854,2664.58,216.92,75,DRV00083,1326,23.8,10.8,2372.66,2024
56855,4037.78,504.32,150,DRV00070,1670,26.8,5.0,3383.46,2024
56856,2741.11,228.76,75,DRV00013,1284,20.8,3.8,2437.3500000000004,2024
56857,1264.0,98.61,100,DRV00134,530,8.3,8.6,1065.39,2024
56858,2305.82,249.44,0,DRV00005,1660,30.3,9.9,2056.38,2024
56859,4281.72,537.81,100,DRV00012,2643,50.9,10.1,3643.9100000000003,2024
56860,5239.34,590.24,200,DRV00102,2129,37.7,8.4,4449.1,2024
56861,639.51,86.46,75,DRV00082,273,4.9,10.7,478.05,2024
56862,4929.55,580.87,150,DRV00088,2133,42.1,8.8,4198.68,2024
56863,3502.2,738.48,75,DRV00045,2281,36.7,5.5,2688.72,2024
56864,7171.14,463.93,0,DRV00092,2843,48.5,2.2,6707.21,2024
56865,2321.08,419.43,0,DRV00035,1306,25.9,4.9,1901.6499999999999,2024
56866,1050.36,131.28,0,DRV00055,589,10.7,4.0,919.0799999999999,2024
56867,3371.04,537.81,50,DRV00084,2741,43.5,11.6,2783.23,2024
56868,4365.29,454.74,0,DRV00037,1831,29.4,4.2,3910.55,2024
56869,1540.17,153.34,200,DRV00058,713,11.3,6.1,1186.8300000000002,2024
56870,3648.56,537.81,0,DRV00098,2630,46.5,6.1,3110.75,2024
56871,2386.84,228.76,50,DRV00121,1261,22.0,2.0,2108.08,2024
56872,5317.27,792.88,0,DRV00045,2456,43.1,2.8,4524.39,2024
56873,2058.52,209.79,0,DRV00020,771,13.1,11.6,1848.73,2024
56874,3031.07,406.72,150,DRV00020,1361,22.2,9.6,2474.3500000000004,2024
56875,2449.68,276.3,150,DRV00015,980,16.5,6.2,2023.3799999999999,2024
56876,3393.63,216.92,75,DRV00098,1278,22.9,2.4,3101.71,2024
56877,1184.53,137.31,0,DRV00059,628,10.3,9.4,1047.22,2024
56878,163.45,15.64,50,DRV00147,95,1.6,5.3,97.80999999999999,2024
56879,1119.37,128.63,50,DRV00097,727,12.5,5.0,940.7399999999999,2024
56880,3774.87,738.48,0,DRV00102,2198,43.8,11.2,3036.39,2024
56881,1013.47,141.33,200,DRV00108,714,13.2,5.9,672.14,2024
56882,4053.47,383.23,150,DRV00011,2132,34.1,4.7,3520.24,2024
56883,2271.44,249.44,0,DRV00090,1597,27.5,10.2,2022.0,2024
56884,4028.2,454.74,150,DRV00074,1723,29.2,5.4,3423.46,2024
56885,1621.46,189.0,0,DRV00019,713,12.5,7.5,1432.46,2024
56886,3290.88,376.0,0,DRV00078,1171,23.2,3.0,2914.88,2024
56887,3682.13,460.0,0,DRV00064,1975,35.0,5.8,3222.13,2024
56888,6493.84,453.91,50,DRV00123,2461,46.7,8.1,5989.93,2024
56889,4955.53,451.8,0,DRV00003,2244,43.4,7.1,4503.73,2024
56890,5058.03,565.38,150,DRV00083,3301,54.5,2.0,4342.65,2024
56891,3903.67,524.7,150,DRV00107,1870,31.3,8.1,3228.9700000000003,2024
56892,3365.33,295.83,0,DRV00049,1627,25.2,7.2,3069.5,2024
56893,1431.6,187.6,0,DRV00117,717,13.6,6.9,1244.0,2024
56894,2699.54,419.43,100,DRV00053,1359,22.6,9.0,2180.11,2024
56895,689.74,86.46,75,DRV00071,280,5.4,5.2,528.28,2024
56896,2143.74,344.52,200,DRV00037,1023,18.1,10.4,1599.2199999999998,2024
56897,930.75,161.53,0,DRV00110,548,8.9,4.4,769.22,2024
56898,975.56,161.53,75,DRV00015,561,10.5,8.0,739.03,2024
56899,754.34,86.46,0,DRV00133,258,4.2,6.4,667.88,2024
56900,2579.48,376.0,75,DRV00144,1241,22.8,11.4,2128.48,2024
56901,2627.42,419.43,0,DRV00085,1330,21.3,10.0,2207.9900000000002,2024
56902,1999.26,344.12,100,DRV00036,1230,20.0,11.0,1555.1399999999999,2024
56903,3335.68,255.36,50,DRV00125,1197,19.3,4.5,3030.3199999999997,2024
56904,1076.52,98.61,150,DRV00059,509,8.8,4.8,827.91,2024
56905,2239.9,228.76,0,DRV00134,1293,21.1,11.1,2011.14,2024
56906,7171.96,472.14,0,DRV00055,2598,43.1,7.4,6699.82,2024
56907,4521.74,564.72,0,DRV00094,2344,40.7,9.2,3957.0199999999995,2024
56908,225.99,13.8,50,DRV00147,94,1.8,7.0,162.19,2024
56909,3284.09,295.83,0,DRV00104,1620,25.3,4.3,2988.26,2024
56910,6530.74,463.93,0,DRV00036,2924,50.2,7.4,6066.8099999999995,2024
56911,4626.74,580.87,0,DRV00088,2029,39.5,3.0,4045.87,2024
56912,4762.63,454.74,150,DRV00037,1767,33.8,5.7,4157.89,2024
56913,632.36,86.46,100,DRV00035,278,5.0,7.1,445.90000000000003,2024
56914,766.78,86.46,0,DRV00099,282,5.1,7.5,680.3199999999999,2024
56915,3294.06,738.48,100,DRV00025,2200,40.9,8.4,2455.58,2024
56916,3515.25,738.48,0,DRV00011,2298,39.3,9.4,2776.77,2024
56917,6560.49,814.37,100,DRV00090,2746,51.2,8.8,5646.12,2024
56918,6005.99,792.88,0,DRV00110,2398,39.8,4.0,5213.11,2024
56919,5697.34,499.18,75,DRV00121,2353,41.0,6.1,5123.16,2024
56920,2182.07,384.2,0,DRV00045,1200,22.3,2.7,1797.8700000000001,2024
56921,1457.36,187.6,75,DRV00035,681,12.5,9.8,1194.76,2024
56922,1365.27,187.6,0,DRV00050,672,13.4,4.0,1177.67,2024
56923,3873.26,460.0,200,DRV00071,1898,31.0,11.9,3213.26,2024
56924,5506.21,453.91,150,DRV00013,2374,46.9,7.3,4902.3,2024
56925,1017.64,131.28,50,DRV00053,559,9.6,11.0,836.36,2024
56926,5282.05,708.51,100,DRV00149,2110,33.4,6.0,4473.54,2024
56927,2801.94,419.43,75,DRV00104,1320,23.7,11.7,2307.51,2024
56928,5739.02,472.14,75,DRV00150,2580,40.8,11.8,5191.88,2024
56929,1139.03,141.33,0,DRV00033,718,12.2,3.2,997.6999999999999,2024
56930,1050.39,161.53,200,DRV00119,570,9.1,5.0,688.8600000000001,2024
56931,7122.76,472.14,0,DRV00029,2796,46.7,9.6,6650.62,2024
56932,1090.13,76.16,50,DRV00018,489,8.6,9.6,963.9700000000001,2024
56933,2040.11,344.12,150,DRV00121,1313,25.9,6.2,1545.9899999999998,2024
56934,1587.17,149.26,50,DRV00108,883,17.6,10.8,1387.91,2024
56935,2580.44,249.44,0,DRV00103,1601,28.9,10.0,2331.0,2024
56936,4954.34,708.51,150,DRV00146,2311,35.7,2.9,4095.83,2024
56937,1006.86,161.53,150,DRV00001,590,11.5,6.3,695.33,2024
56938,4353.66,524.7,150,DRV00091,1762,28.9,4.8,3678.96,2024
56939,4281.43,564.72,0,DRV00114,2305,41.4,6.0,3716.71,2024
56940,2998.08,460.0,0,DRV00038,1854,30.4,6.9,2538.08,2024
56941,5821.62,453.91,50,DRV00128,2459,40.0,6.3,5317.71,2024
56942,1465.07,137.31,50,DRV00126,614,10.4,7.2,1277.76,2024
56943,1539.05,189.0,0,DRV00144,698,12.1,7.0,1350.05,2024
56944,3752.7,454.74,50,DRV00119,1848,35.7,3.4,3247.96,2024
56945,1223.85,141.33,50,DRV00139,668,10.4,12.0,1032.52,2024
56946,1458.0,273.36,150,DRV00102,824,16.3,6.6,1034.6399999999999,2024
56947,1968.21,384.2,50,DRV00061,1131,19.3,2.6,1534.01,2024
56948,3177.81,357.25,150,DRV00125,1416,24.8,6.2,2670.56,2024
56949,994.18,131.28,75,DRV00120,566,10.9,3.2,787.9,2024
56950,1294.88,187.6,75,DRV00148,665,12.3,4.4,1032.2800000000002,2024
56951,1340.37,185.6,150,DRV00057,652,12.3,5.2,1004.7699999999999,2024
56952,988.16,141.33,0,DRV00037,716,13.1,6.4,846.8299999999999,2024
56954,3581.27,460.0,0,DRV00127,1928,31.9,3.7,3121.27,2024
56955,1323.23,170.88,100,DRV00013,761,13.4,2.5,1052.35,2024
56956,2577.12,406.72,75,DRV00147,1312,21.0,7.8,2095.3999999999996,2024
56957,1505.7,153.34,200,DRV00051,748,12.2,4.3,1152.3600000000001,2024
56958,5652.7,580.87,75,DRV00133,2039,33.0,9.1,4996.83,2024
56959,3362.09,537.81,0,DRV00117,2559,45.8,11.0,2824.28,2024
56960,1335.84,170.88,75,DRV00037,726,11.4,5.9,1089.96,2024
56961,1049.4,76.16,50,DRV00029,491,9.1,2.5,923.2400000000001,2024
56962,801.67,131.28,75,DRV00056,537,8.6,11.5,595.39,2024
56963,6751.55,499.18,0,DRV00016,2237,41.3,7.2,6252.37,2024
56964,3293.68,383.23,100,DRV00012,2108,38.7,10.1,2810.45,2024
56965,4094.17,383.23,0,DRV00123,1989,33.9,6.7,3710.94,2024
56966,2710.8,216.92,75,DRV00061,1309,22.8,2.7,2418.88,2024
56967,3098.71,216.92,100,DRV00015,1334,20.6,6.4,2781.79,2024
56968,4009.05,564.72,75,DRV00145,2233,36.8,11.3,3369.33,2024
56969,3080.79,460.0,200,DRV00138,1936,29.9,6.8,2420.79,2024
56970,1455.81,149.26,200,DRV00148,889,14.8,11.9,1106.55,2024
56971,1284.85,170.88,0,DRV00095,756,11.7,2.1,1113.9699999999998,2024
56972,5903.52,792.88,200,DRV00108,2448,46.5,4.2,4910.64,2024
56973,5539.9,565.38,200,DRV00102,3287,64.4,7.0,4774.5199999999995,2024
56974,4507.11,451.8,0,DRV00004,2294,37.6,5.4,4055.3099999999995,2024
56975,973.46,131.28,0,DRV00034,579,11.4,5.9,842.1800000000001,2024
56976,381.73,40.08,75,DRV00033,172,2.8,7.1,266.65000000000003,2024
56977,1254.11,185.6,0,DRV00103,656,10.6,9.4,1068.51,2024
56978,165.69,15.64,200,DRV00088,95,1.6,4.9,-49.95,2024
56979,7437.23,463.93,200,DRV00029,2848,47.2,5.7,6773.299999999999,2024
56980,3960.54,451.8,50,DRV00036,2407,39.1,10.8,3458.74,2024
56981,1423.1,185.6,150,DRV00059,687,11.9,2.8,1087.5,2024
56982,354.67,40.08,150,DRV00044,176,2.7,8.8,164.59000000000003,2024
56983,1213.33,170.88,100,DRV00066,735,11.7,3.8,942.4499999999999,2024
56984,6294.0,453.91,150,DRV00097,2537,44.9,9.6,5690.09,2024
56985,1764.54,384.2,50,DRV00022,1126,17.9,3.4,1330.34,2024
56986,2109.93,384.2,0,DRV00127,1161,18.8,9.5,1725.7299999999998,2024
56987,2799.52,376.0,0,DRV00121,1254,22.6,10.0,2423.52,2024
56988,2764.67,376.0,50,DRV00141,1235,19.0,2.5,2338.67,2024
56989,5301.77,708.51,75,DRV00149,2208,37.9,10.5,4518.26,2024
56990,3076.17,357.25,0,DRV00117,1412,24.2,2.8,2718.92,2024
56991,364.56,40.08,75,DRV00102,173,3.0,5.8,249.48000000000002,2024
56992,6899.5,453.91,0,DRV00108,2560,41.2,5.7,6445.59,2024
56993,1003.02,128.63,150,DRV00056,686,11.1,4.5,724.39,2024
56995,3107.1,295.83,0,DRV00114,1666,27.1,4.3,2811.27,2024
56996,2372.84,419.43,75,DRV00060,1345,25.6,6.4,1878.41,2024
56998,3049.65,216.92,100,DRV00142,1314,23.4,4.6,2732.73,2024
56999,153.55,15.64,100,DRV00024,94,1.4,5.4,37.91000000000001,2024
57000,3795.47,524.7,50,DRV00146,1764,33.8,4.8,3220.7699999999995,2024
57001,6089.75,463.93,50,DRV00014,2719,42.3,8.7,5575.82,2024
57002,169.88,15.64,200,DRV00083,96,1.7,5.2,-45.760000000000005,2024
57003,5639.98,891.82,75,DRV00003,2771,48.2,6.4,4673.16,2024
57004,4550.72,580.87,100,DRV00004,2159,34.6,8.4,3869.8500000000004,2024
57006,3528.05,460.0,75,DRV00142,1838,36.3,3.8,2993.05,2024
57007,4713.78,708.51,100,DRV00121,2275,40.0,2.7,3905.2699999999995,2024
57008,1233.15,185.6,0,DRV00111,648,11.3,9.7,1047.5500000000002,2024
57009,1353.04,98.61,200,DRV00128,540,9.4,9.7,1054.43,2024
57010,1222.32,185.6,0,DRV00002,684,10.6,11.7,1036.72,2024
57011,2311.55,228.76,0,DRV00012,1221,24.3,11.9,2082.79,2024
57012,2918.99,555.52,200,DRV00009,1970,32.5,9.0,2163.47,2024
57013,1033.05,131.28,0,DRV00037,536,10.6,4.8,901.77,2024
57014,946.36,161.53,100,DRV00049,561,11.0,9.4,684.83,2024
57015,2713.92,216.92,50,DRV00132,1322,21.0,5.6,2447.0,2024
57016,8049.28,814.37,100,DRV00103,2659,43.1,4.4,7134.91,2024
57017,1895.27,144.0,200,DRV00111,727,13.1,7.7,1551.27,2024
57018,2236.27,419.43,0,DRV00107,1315,20.4,3.4,1816.84,2024
57019,1970.45,209.79,0,DRV00019,776,12.6,10.8,1760.66,2024
57020,3904.18,555.52,75,DRV00071,2085,34.4,10.2,3273.66,2024
57021,3414.04,314.64,200,DRV00058,1352,25.6,9.6,2899.4,2024
57022,6506.26,499.18,0,DRV00150,2319,45.6,6.4,6007.08,2024
57023,7051.62,472.14,75,DRV00103,2586,50.5,2.8,6504.48,2024
57024,5690.62,708.51,0,DRV00124,2206,34.6,8.2,4982.11,2024
57025,3869.76,460.0,200,DRV00077,1859,32.2,8.0,3209.76,2024
57026,4654.89,524.7,200,DRV00142,1853,28.6,8.2,3930.1900000000005,2024
57027,6686.81,499.18,0,DRV00141,2241,38.4,3.6,6187.63,2024
57028,1442.16,137.31,50,DRV00144,614,11.4,6.6,1254.8500000000001,2024
57029,6029.49,814.37,50,DRV00005,2727,42.0,3.8,5165.12,2024
57030,2949.68,295.83,50,DRV00077,1595,26.4,2.0,2603.85,2024
57031,3260.69,295.83,0,DRV00050,1581,24.7,5.3,2964.86,2024
57032,3226.01,357.25,100,DRV00146,1503,27.6,11.1,2768.76,2024
57033,2053.46,384.2,75,DRV00024,1160,21.3,11.5,1594.26,2024
57034,1277.94,187.6,75,DRV00133,657,10.8,7.1,1015.34,2024
57035,4269.56,524.7,100,DRV00084,1812,35.0,6.7,3644.8600000000006,2024
57036,6321.26,891.82,50,DRV00069,2692,53.3,3.9,5379.4400000000005,2024
57037,1407.01,189.0,0,DRV00018,675,12.0,5.8,1218.01,2024
57038,1209.46,161.53,0,DRV00071,560,10.1,6.3,1047.93,2024
57039,2206.44,384.2,0,DRV00056,1135,17.9,10.8,1822.24,2024
57040,4405.22,564.72,0,DRV00104,2292,44.0,6.4,3840.5,2024
57041,1235.49,187.6,0,DRV00001,687,13.6,10.6,1047.89,2024
57042,3797.7,383.23,150,DRV00029,2161,35.7,11.6,3264.47,2024
57043,1807.74,344.12,200,DRV00120,1231,23.2,3.1,1263.62,2024
57044,3284.08,216.92,0,DRV00147,1272,21.8,7.2,3067.16,2024
57045,441.92,40.08,200,DRV00125,171,2.7,11.5,201.84000000000003,2024
57046,1283.97,189.0,0,DRV00026,688,12.4,6.6,1094.97,2024
57047,4191.43,454.74,200,DRV00101,1775,31.6,3.2,3536.6900000000005,2024
57048,4001.38,524.7,0,DRV00015,1728,29.3,3.6,3476.6800000000003,2024
57049,146.92,15.64,0,DRV00105,91,1.7,2.9,131.27999999999997,2024
57050,1313.94,128.63,75,DRV00122,690,10.6,5.4,1110.31,2024
57051,1257.58,185.6,200,DRV00015,656,11.9,5.4,871.9799999999999,2024
57052,4530.92,580.87,0,DRV00094,2144,41.4,5.8,3950.05,2024
57053,2169.72,114.3,0,DRV00092,801,12.5,9.3,2055.4199999999996,2024
57054,1046.87,128.63,150,DRV00130,681,12.6,3.3,768.2399999999999,2024
57055,3197.87,314.64,0,DRV00123,1406,22.2,8.3,2883.23,2024
57056,3913.03,524.7,75,DRV00114,1819,32.6,10.1,3313.33,2024
57057,2086.45,384.2,150,DRV00104,1219,22.4,9.7,1552.2499999999998,2024
57058,3041.98,314.64,0,DRV00053,1315,25.5,6.9,2727.34,2024
57059,787.13,131.28,150,DRV00023,555,10.9,3.1,505.85,2024
57060,4742.17,451.8,0,DRV00069,2262,42.8,4.8,4290.37,2024
57061,2464.58,228.76,150,DRV00142,1249,22.8,2.6,2085.8199999999997,2024
57062,1591.78,149.26,0,DRV00079,946,16.7,2.1,1442.52,2024
57063,1381.53,187.6,200,DRV00051,708,14.1,12.0,993.93,2024
57064,246.5,13.8,200,DRV00125,94,1.6,4.2,32.7,2024
57065,2301.83,276.3,200,DRV00044,913,17.8,11.2,1825.53,2024
57066,1135.16,141.33,50,DRV00143,681,13.3,4.7,943.83,2024
57067,1226.86,185.6,200,DRV00058,677,11.5,9.7,841.2599999999999,2024
57068,3448.49,255.36,0,DRV00053,1278,20.8,4.4,3193.1299999999997,2024
57069,5673.28,580.87,100,DRV00066,2162,40.7,3.0,4992.41,2024
57070,2845.54,376.0,50,DRV00009,1154,22.8,7.7,2419.54,2024
57071,3838.53,524.7,0,DRV00015,1761,30.3,10.1,3313.83,2024
57072,3169.29,406.72,0,DRV00028,1306,24.9,11.5,2762.5699999999997,2024
57073,1536.12,137.31,0,DRV00124,587,9.7,10.3,1398.81,2024
57074,3756.02,537.81,75,DRV00024,2743,52.2,2.3,3143.21,2024
57075,4477.13,564.72,200,DRV00095,2332,45.8,11.6,3712.41,2024
57076,738.25,86.46,0,DRV00129,263,4.5,6.6,651.79,2024
57077,2715.93,295.83,0,DRV00134,1670,32.6,5.9,2420.1,2024
57078,2337.5,419.43,0,DRV00102,1325,21.7,6.2,1918.07,2024
57079,5690.39,565.38,0,DRV00018,3137,61.0,11.8,5125.01,2024
57080,4517.77,792.88,150,DRV00088,2375,42.6,10.3,3574.8900000000003,2024
57081,4976.05,708.51,200,DRV00112,2236,34.7,2.9,4067.54,2024
57082,3412.14,504.32,0,DRV00043,1630,28.1,7.4,2907.8199999999997,2024
57083,4661.79,565.38,75,DRV00050,3155,61.1,2.3,4021.41,2024
57084,4784.82,451.8,50,DRV00097,2296,40.1,11.3,4283.0199999999995,2024
57085,1502.1,137.31,50,DRV00090,636,11.4,11.2,1314.79,2024
57086,3151.24,376.0,0,DRV00002,1239,24.1,7.9,2775.24,2024
57087,4210.74,738.48,200,DRV00142,2197,39.7,8.5,3272.2599999999998,2024
57088,1045.99,76.16,200,DRV00065,501,8.3,6.7,769.83,2024
57089,2167.88,344.52,150,DRV00141,1104,17.1,5.2,1673.3600000000001,2024
57090,1965.8,344.12,150,DRV00139,1265,20.5,11.7,1471.6799999999998,2024
57091,3419.34,314.64,75,DRV00138,1289,23.0,10.9,3029.7000000000003,2024
57092,6246.96,792.88,100,DRV00053,2504,42.8,2.6,5354.08,2024
57093,2053.96,344.52,200,DRV00065,1099,16.9,5.8,1509.44,2024
57094,3303.43,738.48,0,DRV00041,2274,35.8,7.8,2564.95,2024
57095,442.47,40.08,0,DRV00127,164,2.5,2.9,402.39000000000004,2024
57096,3196.14,255.36,100,DRV00100,1281,22.2,6.2,2840.7799999999997,2024
57098,1502.92,273.36,200,DRV00112,800,14.5,4.6,1029.56,2024
57099,2050.3,344.52,100,DRV00024,1024,19.5,3.1,1605.7800000000002,2024
57100,404.48,40.08,50,DRV00066,180,3.5,2.0,314.40000000000003,2024
57101,1874.9,384.2,200,DRV00055,1188,22.6,2.4,1290.7,2024
57102,1884.63,149.26,0,DRV00142,946,15.8,2.8,1735.3700000000001,2024
57103,2281.02,344.52,200,DRV00092,1095,19.8,11.9,1736.5,2024
57104,3407.58,738.48,0,DRV00112,2168,35.0,4.3,2669.1,2024
57105,1214.24,98.61,100,DRV00110,558,10.2,5.7,1015.63,2024
57106,4374.42,738.48,0,DRV00057,2232,41.9,9.7,3635.94,2024
57107,5410.57,708.51,0,DRV00038,2160,43.2,7.8,4702.0599999999995,2024
57108,4326.24,309.24,150,DRV00108,1836,32.0,9.2,3867.0,2024
57109,397.9,40.08,0,DRV00013,167,2.9,6.5,357.82,2024
57111,4980.59,708.51,75,DRV00001,2285,43.3,8.9,4197.08,2024
