,customer_id,route_id,load_date,load_type,weight_lbs,pieces,revenue,fuel_surcharge,accessorial_charges,booking_type,driver_id,truck_id,trailer_id,dispatch_date,actual_distance_miles,actual_duration_hours,fuel_gallons_used,average_mpg,idle_time_hours,total_revenue
20,CUST00047,RTE00042,2022-01-01,Dry Van,19296,6,6543.53,472.14,0,Contract,DRV00066,TRK00058,TRL00151,2022-01-01,2800,48.0,443.0,6.32,6.1,6071.389999999999
21,CUST00018,RTE00009,2022-01-01,Refrigerated,18806,18,1754.79,149.26,50,Contract,DRV00114,TRK00078,TRL00061,2022-01-01,883,14.6,154.1,5.73,9.7,1555.53
22,CUST00007,RTE00048,2022-01-01,Dry Van,43889,2,5546.99,792.88,50,Dedicated,DRV00117,TRK00026,TRL00027,2022-01-01,2495,46.4,379.8,6.57,9.8,4704.11
23,CUST00041,RTE00035,2022-01-01,Refrigerated,19601,23,1947.42,344.12,100,Contract,DRV00082,TRK00001,TRL00081,2022-01-01,1272,19.9,200.9,6.33,3.9,1503.3000000000002
24,CUST00036,RTE00034,2022-01-01,Dry Van,20324,20,4479.29,792.88,0,Dedicated,DRV00053,TRK00018,TRL00024,2022-01-01,2415,41.3,372.1,6.49,9.7,3686.41
25,CUST00033,RTE00022,2022-01-01,Refrigerated,44197,19,1091.98,161.53,0,Contract,DRV00102,TRK00076,TRL00163,2022-01-01,564,9.4,92.2,6.12,3.1,930.45
26,CUST00065,RTE00058,2022-01-01,Refrigerated,17186,5,1195.13,98.61,100,Spot,DRV00050,TRK00019,TRL00055,2022-01-01,522,8.3,82.9,6.3,6.6,996.5200000000001
27,CUST00073,RTE00004,2022-01-01,Refrigerated,35037,16,4096.78,383.23,75,Dedicated,DRV00114,TRK00111,TRL00067,2022-01-01,1979,34.2,333.2,5.94,4.3,3638.5499999999997
28,CUST00055,RTE00026,2022-01-01,Refrigerated,14471,2,2985.66,555.52,75,Spot,DRV00139,TRK00024,TRL00039,2022-01-01,2006,32.7,268.5,7.47,2.0,2355.14
29,CUST00136,RTE00010,2022-01-01,Dry Van,41155,13,166.6,15.64,200,Contract,DRV00088,TRK00076,TRL00088,2022-01-01,91,1.6,16.0,5.7,9.7,-49.040000000000006
30,CUST00135,RTE00042,2022-01-01,Dry Van,20882,19,5386.12,472.14,100,Dedicated,DRV00036,TRK00071,TRL00136,2022-01-01,2615,48.0,418.4,6.25,10.6,4813.98
31,CUST00076,RTE00006,2022-01-01,Refrigerated,44284,22,1241.88,189.0,200,Spot,DRV00085,TRK00069,TRL00174,2022-01-01,700,11.9,106.5,6.57,6.6,852.8800000000001
32,CUST00029,RTE00033,2022-01-01,Dry Van,35731,15,397.65,40.08,0,Dedicated,DRV00083,TRK00064,TRL00153,2022-01-01,176,3.2,24.8,7.11,6.1,357.57
33,CUST00079,RTE00034,2022-01-01,Refrigerated,35141,17,5336.08,792.88,75,Contract,DRV00053,TRK00054,TRL00084,2022-01-01,2464,40.9,393.6,6.26,11.9,4468.2
34,CUST00016,RTE00026,2022-01-01,Refrigerated,32941,8,3333.54,555.52,75,Dedicated,DRV00113,TRK00009,TRL00100,2022-01-01,2054,32.7,301.6,6.81,5.1,2703.02
35,CUST00081,RTE00020,2022-01-01,Refrigerated,27839,3,4255.48,738.48,0,Spot,DRV00124,TRK00038,TRL00083,2022-01-01,2285,42.8,344.1,6.64,6.9,3516.9999999999995
36,CUST00102,RTE00055,2022-01-01,Dry Van,30111,6,3648.12,357.25,200,Dedicated,DRV00018,TRK00085,TRL00097,2022-01-01,1535,26.5,250.0,6.14,10.9,3090.87
37,CUST00119,RTE00022,2022-01-01,Dry Van,29891,20,1144.42,161.53,50,Spot,DRV00033,TRK00089,TRL00024,2022-01-01,598,9.6,95.8,6.24,11.0,932.8900000000001
38,CUST00044,RTE00025,2022-01-01,Refrigerated,37685,15,5362.03,565.38,50,Dedicated,DRV00112,TRK00062,TRL00067,2022-01-01,3143,57.7,560.2,5.61,6.5,4746.65
39,CUST00114,RTE00016,2022-01-01,Dry Van,15118,7,6049.16,463.93,0,Dedicated,DRV00044,TRK00001,TRL00120,2022-01-01,2835,45.5,400.4,7.08,7.0,5585.23
40,CUST00017,RTE00007,2022-01-01,Dry Van,40655,24,4409.48,504.32,0,Dedicated,DRV00124,TRK00020,TRL00055,2022-01-01,1627,32.0,222.0,7.33,6.7,3905.1599999999994
41,CUST00027,RTE00033,2022-01-01,Dry Van,25321,12,380.59,40.08,50,Dedicated,DRV00020,TRK00089,TRL00069,2022-01-01,164,3.1,24.8,6.61,11.5,290.51
42,CUST00185,RTE00042,2022-01-01,Dry Van,37867,17,7166.34,472.14,0,Dedicated,DRV00026,TRK00010,TRL00168,2022-01-01,2583,48.6,467.9,5.52,11.7,6694.2
43,CUST00190,RTE00056,2022-01-01,Refrigerated,38265,28,4320.1,309.24,100,Dedicated,DRV00102,TRK00079,TRL00048,2022-01-01,1796,34.8,326.0,5.51,7.8,3910.8600000000006
44,CUST00060,RTE00031,2022-01-01,Refrigerated,33321,13,1397.3,185.6,0,Dedicated,DRV00117,TRK00061,TRL00070,2022-01-01,658,11.4,89.9,7.32,6.9,1211.7
45,CUST00038,RTE00033,2022-01-01,Dry Van,18519,27,349.73,40.08,200,Contract,DRV00020,TRK00007,TRL00031,2022-01-01,176,3.0,29.6,5.95,9.9,109.65000000000002
46,CUST00109,RTE00020,2022-01-01,Dry Van,28659,24,3834.6,738.48,150,Contract,DRV00023,TRK00015,TRL00034,2022-01-01,2159,34.7,290.6,7.43,5.1,2946.12
47,CUST00185,RTE00053,2022-01-01,Dry Van,34466,8,1820.31,209.79,100,Spot,DRV00085,TRK00058,TRL00048,2022-01-01,818,16.3,110.7,7.39,2.7,1510.52
48,CUST00003,RTE00041,2022-01-01,Dry Van,14164,11,2970.83,255.36,200,Dedicated,DRV00089,TRK00090,TRL00117,2022-01-01,1304,23.8,177.9,7.33,3.1,2515.47
49,CUST00137,RTE00036,2022-01-01,Dry Van,18373,18,586.48,86.46,150,Dedicated,DRV00148,TRK00050,TRL00086,2022-01-01,266,4.5,39.1,6.81,8.8,350.02000000000004
50,CUST00114,RTE00053,2022-01-01,Dry Van,18900,18,1908.52,209.79,0,Contract,DRV00134,TRK00026,TRL00168,2022-01-01,788,13.3,121.0,6.51,6.7,1698.73
51,CUST00065,RTE00043,2022-01-01,Refrigerated,41933,3,2709.18,249.44,50,Spot,DRV00065,TRK00004,TRL00061,2022-01-01,1614,31.5,255.8,6.31,4.6,2409.74
52,CUST00039,RTE00053,2022-01-01,Refrigerated,31661,8,1772.1,209.79,75,Dedicated,DRV00148,TRK00024,TRL00149,2022-01-01,764,14.8,121.9,6.27,8.3,1487.31
53,CUST00101,RTE00045,2022-01-01,Dry Van,26730,12,1558.56,137.31,50,Contract,DRV00047,TRK00063,TRL00005,2022-01-01,598,9.7,80.2,7.46,4.6,1371.25
54,CUST00030,RTE00042,2022-01-01,Dry Van,28665,24,6217.14,472.14,75,Dedicated,DRV00085,TRK00004,TRL00054,2022-01-01,2615,40.9,386.8,6.76,10.6,5670.0
55,CUST00115,RTE00035,2022-01-01,Dry Van,19151,13,1961.75,344.12,0,Spot,DRV00126,TRK00015,TRL00064,2022-01-01,1216,24.0,196.8,6.18,7.3,1617.63
56,CUST00018,RTE00051,2022-01-01,Dry Van,42959,27,3290.19,460.0,100,Dedicated,DRV00001,TRK00073,TRL00097,2022-01-01,1961,33.9,290.9,6.74,4.9,2730.19
57,CUST00181,RTE00008,2022-01-01,Refrigerated,32233,7,2008.44,114.3,100,Dedicated,DRV00121,TRK00030,TRL00170,2022-01-01,806,13.1,123.2,6.54,4.6,1794.14
58,CUST00156,RTE00056,2022-01-01,Dry Van,36670,4,4010.78,309.24,0,Contract,DRV00108,TRK00090,TRL00072,2022-01-01,1788,27.7,267.7,6.68,3.6,3701.54
59,CUST00169,RTE00031,2022-01-01,Dry Van,20352,1,1284.96,185.6,50,Contract,DRV00041,TRK00054,TRL00142,2022-01-01,681,10.6,92.8,7.34,4.6,1049.3600000000001
60,CUST00028,RTE00038,2022-01-01,Refrigerated,16374,13,3035.92,314.64,0,Contract,DRV00114,TRK00009,TRL00171,2022-01-01,1351,21.4,208.5,6.48,2.8,2721.28
61,CUST00071,RTE00012,2022-01-01,Refrigerated,39516,22,6224.98,453.91,0,Dedicated,DRV00104,TRK00002,TRL00010,2022-01-01,2483,41.3,426.6,5.82,2.2,5771.07
62,CUST00170,RTE00008,2022-01-01,Refrigerated,28017,15,2294.59,114.3,200,Contract,DRV00079,TRK00115,TRL00103,2022-01-01,787,12.9,118.0,6.67,5.4,1980.2900000000002
63,CUST00070,RTE00030,2022-01-01,Dry Van,11745,9,5773.26,708.51,0,Dedicated,DRV00050,TRK00043,TRL00152,2022-01-01,2197,41.0,313.4,7.01,11.6,5064.75
64,CUST00084,RTE00022,2022-01-01,Refrigerated,21031,4,976.39,161.53,75,Contract,DRV00003,TRK00082,TRL00023,2022-01-01,598,10.8,89.9,6.65,10.9,739.86
65,CUST00169,RTE00039,2022-01-01,Refrigerated,18437,27,2288.24,344.52,50,Contract,DRV00124,TRK00050,TRL00127,2022-01-01,1105,21.1,168.4,6.56,7.5,1893.7199999999998
66,CUST00137,RTE00046,2022-01-01,Refrigerated,37048,11,5742.86,499.18,200,Dedicated,,TRK00112,TRL00040,2022-01-01,2433,40.0,427.6,5.69,9.2,5043.679999999999
67,CUST00022,RTE00023,2022-01-01,Dry Van,13615,25,2948.24,216.92,200,Dedicated,DRV00083,TRK00091,TRL00131,2022-01-01,1308,22.5,233.6,5.6,5.8,2531.3199999999997
68,CUST00095,RTE00026,2022-01-01,Refrigerated,35683,11,2969.62,555.52,0,Dedicated,DRV00066,TRK00092,TRL00093,2022-01-01,2119,41.5,328.5,6.45,4.1,2414.1
69,CUST00091,RTE00013,2022-01-01,Refrigerated,36085,1,1182.65,141.33,200,Contract,DRV00077,,TRL00040,2022-01-01,711,14.2,105.5,6.74,9.7,841.32
70,CUST00036,RTE00006,2022-01-01,Dry Van,24520,9,1621.31,189.0,0,Dedicated,DRV00147,TRK00013,TRL00162,2022-01-01,708,12.5,117.8,6.01,3.5,1432.31
71,CUST00166,RTE00037,2022-01-02,Refrigerated,38997,25,3709.21,537.81,0,Dedicated,DRV00092,TRK00108,TRL00095,2022-01-02,2686,43.0,444.7,6.04,10.2,3171.4
72,CUST00038,RTE00032,2022-01-02,Refrigerated,18015,24,5103.24,451.8,75,Contract,DRV00055,TRK00025,TRL00105,2022-01-02,2322,38.0,384.4,6.04,8.7,4576.44
73,CUST00139,RTE00016,2022-01-02,Dry Van,25410,4,6266.36,463.93,0,Spot,DRV00051,,TRL00141,2022-01-02,2937,51.6,428.8,6.85,9.7,5802.429999999999
74,CUST00070,RTE00028,2022-01-02,Refrigerated,30564,11,4476.08,564.72,0,Dedicated,DRV00041,TRK00008,TRL00113,2022-01-02,2225,39.9,330.6,6.73,9.7,3911.3599999999997
75,CUST00177,RTE00050,2022-01-02,Refrigerated,26519,1,1193.23,170.88,0,Spot,DRV00129,TRK00048,TRL00092,2022-01-02,751,12.6,109.2,6.88,4.0,1022.35
76,CUST00105,RTE00047,2022-01-02,Dry Van,11063,19,926.86,76.16,150,Dedicated,DRV00037,TRK00025,TRL00033,2022-01-02,485,9.1,75.5,6.42,10.9,700.7
77,CUST00060,RTE00036,2022-01-02,Dry Van,34299,28,723.75,86.46,75,Dedicated,DRV00110,TRK00098,TRL00178,2022-01-02,272,4.7,38.6,7.04,3.0,562.29
78,CUST00164,RTE00023,2022-01-02,Refrigerated,26669,1,2557.47,216.92,100,Dedicated,DRV00014,TRK00051,TRL00014,2022-01-02,1283,21.0,231.6,5.54,5.5,2240.5499999999997
79,CUST00044,RTE00033,2022-01-02,Refrigerated,13728,3,422.11,40.08,75,Spot,DRV00053,TRK00067,TRL00112,2022-01-02,165,3.1,25.2,6.56,5.3,307.03000000000003
80,CUST00073,RTE00005,2022-01-02,Dry Van,40180,13,4776.23,454.74,0,Dedicated,DRV00124,TRK00052,TRL00138,2022-01-02,1736,31.5,304.0,5.71,8.7,4321.49
81,CUST00030,RTE00052,2022-01-02,Refrigerated,35397,13,1367.63,273.36,0,Dedicated,DRV00060,TRK00061,TRL00158,2022-01-02,848,16.8,113.8,7.45,8.4,1094.27
82,CUST00039,RTE00042,2022-01-02,Refrigerated,38608,28,6406.92,472.14,0,Spot,DRV00013,TRK00059,TRL00117,2022-01-02,2689,43.8,373.0,7.21,4.3,5934.78
83,CUST00175,RTE00001,2022-01-02,Refrigerated,34114,12,1098.31,128.63,0,Spot,DRV00039,TRK00014,TRL00144,2022-01-02,698,13.4,116.1,6.01,4.5,969.68
84,CUST00116,RTE00024,2022-01-02,Refrigerated,10131,27,3304.91,376.0,0,Dedicated,DRV00035,TRK00120,TRL00081,2022-01-02,1227,22.1,173.6,7.07,6.8,2928.91
85,CUST00061,RTE00021,2022-01-02,Dry Van,11537,22,5554.06,590.24,0,Dedicated,DRV00121,TRK00112,TRL00087,2022-01-02,2150,33.2,302.0,7.12,3.8,4963.820000000001
86,CUST00078,RTE00022,2022-01-02,Refrigerated,13783,22,1212.18,161.53,200,Dedicated,DRV00141,TRK00096,TRL00074,2022-01-02,571,8.9,88.1,6.48,5.1,850.6500000000001
87,CUST00039,RTE00052,2022-01-02,Dry Van,44525,14,1410.62,273.36,0,Dedicated,DRV00078,,TRL00072,2022-01-02,864,14.5,127.8,6.76,12.0,1137.2599999999998
88,CUST00071,RTE00002,2022-01-02,Refrigerated,28700,16,1444.9,153.34,150,Dedicated,DRV00110,TRK00064,TRL00176,2022-01-02,689,12.6,102.7,6.71,10.3,1141.5600000000002
89,CUST00032,RTE00046,2022-01-02,Refrigerated,28819,4,5287.59,499.18,100,Contract,DRV00049,TRK00072,TRL00152,2022-01-02,2318,41.9,347.0,6.68,5.5,4688.41
90,CUST00045,RTE00020,2022-01-02,Dry Van,38641,27,3760.32,738.48,0,Spot,DRV00033,TRK00112,TRL00002,2022-01-02,2323,39.1,322.6,7.2,10.9,3021.84
91,CUST00194,RTE00058,2022-01-02,Dry Van,28898,3,1106.05,98.61,0,Spot,DRV00054,TRK00050,TRL00056,2022-01-02,543,9.4,83.4,6.51,11.0,1007.4399999999999
92,CUST00012,RTE00013,2022-01-02,Refrigerated,32111,24,1157.22,141.33,150,Contract,DRV00020,TRK00059,TRL00168,2022-01-02,699,13.9,100.0,6.99,6.0,865.89
93,CUST00030,RTE00023,2022-01-02,Refrigerated,25327,11,2947.63,216.92,0,Contract,DRV00141,TRK00033,TRL00096,2022-01-02,1361,21.9,188.2,7.23,4.9,2730.71
94,CUST00113,RTE00024,2022-01-02,Dry Van,43626,16,3237.58,376.0,100,Dedicated,DRV00060,TRK00099,TRL00167,2022-01-02,1250,20.3,215.5,5.8,5.8,2761.58
95,CUST00121,RTE00026,2022-01-02,Refrigerated,22625,12,3712.06,555.52,0,Dedicated,DRV00030,TRK00090,TRL00023,2022-01-02,1991,38.6,338.0,5.89,10.6,3156.54
96,CUST00166,RTE00055,2022-01-02,Refrigerated,21514,16,3886.42,357.25,200,Dedicated,DRV00150,TRK00057,TRL00153,2022-01-02,1410,25.5,241.9,5.83,11.0,3329.17
97,CUST00035,RTE00031,2022-01-02,Dry Van,16002,6,1463.9,185.6,50,Dedicated,DRV00126,TRK00097,TRL00070,2022-01-02,682,12.5,107.1,6.37,5.7,1228.3000000000002
98,CUST00047,RTE00018,2022-01-02,Dry Van,13406,22,1467.1,187.6,150,Spot,DRV00033,TRK00024,TRL00118,2022-01-02,677,11.9,113.4,5.97,6.2,1129.5
99,CUST00182,RTE00044,2022-01-02,Dry Van,20122,18,7040.61,814.37,0,Spot,DRV00005,TRK00095,TRL00158,2022-01-02,2683,50.1,358.2,7.49,11.3,6226.24
100,CUST00063,RTE00016,2022-01-02,Dry Van,29075,3,7516.54,463.93,150,Spot,DRV00002,TRK00112,TRL00074,2022-01-02,2918,53.5,508.4,5.74,4.5,6902.61
101,CUST00003,RTE00008,2022-01-02,Dry Van,23688,8,1762.17,114.3,0,Spot,DRV00129,TRK00063,TRL00088,2022-01-02,767,12.9,124.5,6.16,3.0,1647.8700000000001
102,CUST00165,RTE00014,2022-01-02,Dry Van,17213,2,2333.14,228.76,200,Spot,DRV00109,TRK00052,TRL00053,2022-01-02,1264,22.2,198.4,6.37,2.8,1904.3799999999999
103,CUST00152,RTE00039,2022-01-02,Dry Van,10076,23,1898.21,344.52,0,Dedicated,,TRK00114,TRL00013,2022-01-02,1048,18.5,143.2,7.32,4.6,1553.69
104,CUST00181,RTE00045,2022-01-02,Refrigerated,28669,10,1182.91,137.31,150,Dedicated,DRV00139,TRK00115,TRL00073,2022-01-02,624,12.4,102.3,6.1,11.6,895.6000000000001
105,CUST00156,RTE00037,2022-01-02,Dry Van,25965,28,4423.72,537.81,100,Dedicated,DRV00084,TRK00026,TRL00099,2022-01-02,2569,49.2,427.5,6.01,8.5,3785.9100000000003
106,CUST00107,RTE00047,2022-01-02,Dry Van,23840,5,862.24,76.16,0,Contract,DRV00124,TRK00011,TRL00046,2022-01-02,498,8.9,75.3,6.61,4.2,786.08
107,CUST00171,RTE00010,2022-01-02,Dry Van,32468,23,167.63,15.64,0,Spot,DRV00111,TRK00069,TRL00097,2022-01-02,91,1.4,15.9,5.74,7.9,151.99
108,CUST00034,RTE00056,2022-01-02,Refrigerated,33193,7,4076.85,309.24,100,Spot,DRV00071,TRK00078,TRL00013,2022-01-02,1696,33.0,233.0,7.28,2.9,3667.6099999999997
109,CUST00015,RTE00029,2022-01-02,Dry Van,36817,1,6924.28,891.82,0,Spot,DRV00090,TRK00067,TRL00027,2022-01-02,2669,51.9,368.6,7.24,10.1,6032.46
110,CUST00042,RTE00001,2022-01-02,Refrigerated,37897,1,985.03,128.63,150,Contract,DRV00075,TRK00065,TRL00093,2022-01-02,690,11.1,98.3,7.02,4.5,706.4
111,CUST00175,RTE00038,2022-01-02,Refrigerated,42780,22,3913.66,314.64,0,Dedicated,DRV00079,TRK00071,TRL00092,2022-01-02,1377,21.3,244.1,5.64,4.7,3599.02
112,CUST00018,RTE00035,2022-01-02,Refrigerated,15979,25,2273.01,344.12,75,Dedicated,DRV00036,TRK00062,TRL00064,2022-01-02,1262,23.4,206.2,6.12,6.4,1853.8900000000003
113,CUST00198,RTE00046,2022-01-02,Refrigerated,21533,17,6231.98,499.18,0,Contract,DRV00114,TRK00030,TRL00083,2022-01-02,2367,43.6,400.5,5.91,11.7,5732.799999999999
114,CUST00135,RTE00006,2022-01-02,Dry Van,42782,7,1548.42,189.0,150,Contract,DRV00141,TRK00080,TRL00163,2022-01-02,663,11.6,100.9,6.57,6.1,1209.42
115,CUST00078,RTE00010,2022-01-02,Refrigerated,19855,7,164.97,15.64,0,Dedicated,DRV00147,TRK00114,TRL00025,2022-01-02,92,1.7,15.1,6.09,3.3,149.32999999999998
116,CUST00137,RTE00004,2022-01-02,Dry Van,37460,18,3545.72,383.23,100,Dedicated,DRV00018,TRK00091,TRL00001,2022-01-02,2098,35.9,369.4,5.68,9.6,3062.49
117,CUST00145,RTE00056,2022-01-02,Dry Van,12481,21,4836.23,309.24,100,Spot,DRV00127,TRK00085,TRL00111,2022-01-02,1782,29.2,318.8,5.59,2.4,4426.99
118,CUST00084,RTE00017,2022-01-02,Refrigerated,14222,20,2298.83,384.2,0,Contract,DRV00019,TRK00069,TRL00120,2022-01-02,1178,19.9,190.6,6.18,11.4,1914.6299999999999
119,CUST00085,RTE00002,2022-01-02,Dry Van,23074,25,1417.56,153.34,0,Dedicated,DRV00069,TRK00038,TRL00104,2022-01-02,732,12.1,109.4,6.69,2.2,1264.22
120,CUST00081,RTE00023,2022-01-02,Dry Van,23011,17,2562.66,216.92,0,Dedicated,DRV00113,TRK00099,TRL00077,2022-01-02,1299,22.9,202.0,6.43,3.8,2345.74
121,CUST00164,RTE00017,2022-01-02,Dry Van,12139,20,2148.93,384.2,75,Spot,DRV00015,TRK00112,TRL00110,2022-01-02,1153,18.5,205.9,5.6,5.7,1689.7299999999998
122,CUST00177,RTE00024,2022-01-02,Dry Van,12381,21,2658.64,376.0,0,Dedicated,DRV00101,TRK00095,TRL00122,2022-01-02,1213,23.9,161.9,7.49,2.4,2282.64
123,CUST00040,RTE00016,2022-01-02,Refrigerated,16897,8,5864.39,463.93,100,Dedicated,DRV00119,TRK00050,TRL00071,2022-01-02,2940,46.2,417.0,7.05,9.3,5300.46
124,CUST00145,RTE00045,2022-01-02,Dry Van,24461,5,1275.41,137.31,50,Dedicated,DRV00111,TRK00045,TRL00106,2022-01-02,629,12.3,102.4,6.14,4.8,1088.1000000000001
125,CUST00094,RTE00035,2022-01-02,Dry Van,26167,4,2259.52,344.12,75,Spot,DRV00017,TRK00097,TRL00154,2022-01-02,1258,24.1,190.0,6.62,10.8,1840.4
126,CUST00138,RTE00032,2022-01-02,Refrigerated,10559,8,4242.83,451.8,50,Dedicated,DRV00108,TRK00114,TRL00150,2022-01-02,2296,37.8,347.9,6.6,9.8,3741.0299999999997
127,CUST00026,RTE00050,2022-01-02,Dry Van,19319,22,1447.91,170.88,0,Dedicated,DRV00119,TRK00051,TRL00042,2022-01-02,736,12.7,100.4,7.33,10.5,1277.0300000000002
128,CUST00126,RTE00035,2022-01-02,Dry Van,19177,19,1801.54,344.12,100,Contract,DRV00110,TRK00029,TRL00073,2022-01-02,1260,21.0,178.7,7.05,4.8,1357.42
129,CUST00136,RTE00054,2022-01-02,Dry Van,40002,17,2868.5,295.83,0,Contract,DRV00103,TRK00025,TRL00079,2022-01-02,1651,31.1,222.5,7.42,3.3,2572.67
130,CUST00143,RTE00006,2022-01-02,Dry Van,14273,23,1361.45,189.0,50,Spot,DRV00105,TRK00030,TRL00119,2022-01-02,717,12.5,121.9,5.88,6.9,1122.45
131,CUST00098,RTE00050,2022-01-02,Refrigerated,41678,20,1182.37,170.88,200,Contract,DRV00066,TRK00016,TRL00029,2022-01-02,709,11.4,119.4,5.94,5.4,811.4899999999999
132,CUST00178,RTE00028,2022-01-02,Refrigerated,42051,6,3554.9,564.72,0,Dedicated,DRV00033,TRK00083,TRL00137,2022-01-02,2288,38.8,337.5,6.78,10.9,2990.1800000000003
133,CUST00117,RTE00015,2022-01-02,Refrigerated,25714,13,270.3,13.8,0,Contract,DRV00111,TRK00038,TRL00089,2022-01-02,96,1.7,15.6,6.15,11.7,256.5
134,CUST00123,RTE00003,2022-01-02,Refrigerated,27353,11,5253.96,580.87,0,Spot,DRV00012,TRK00038,TRL00090,2022-01-02,2089,41.7,294.2,7.1,3.9,4673.09
135,CUST00008,RTE00005,2022-01-02,Dry Van,11601,8,4390.63,454.74,100,Contract,DRV00014,TRK00108,TRL00164,2022-01-02,1872,29.2,304.4,6.15,6.7,3835.8900000000003
136,CUST00190,RTE00029,2022-01-02,Refrigerated,37667,26,6678.67,891.82,150,Dedicated,DRV00037,TRK00061,TRL00163,2022-01-02,2655,47.6,404.1,6.57,9.4,5636.85
137,CUST00093,RTE00004,2022-01-02,Refrigerated,11593,11,4127.84,383.23,100,Dedicated,DRV00083,TRK00059,TRL00109,2022-01-02,2029,38.6,275.7,7.36,2.8,3644.61
138,CUST00192,RTE00010,2022-01-02,Dry Van,14283,11,144.91,15.64,200,Spot,DRV00043,TRK00015,TRL00055,2022-01-02,99,1.9,14.6,6.78,6.1,-70.73
139,CUST00118,RTE00025,2022-01-02,Dry Van,28009,10,5181.01,565.38,0,Dedicated,DRV00098,TRK00031,TRL00176,2022-01-02,3117,54.5,562.6,5.54,7.1,4615.63
